numeric_location,week_number,treatment,amount_used,google_second_wave_trend,google_drug_resistant_trend,stagger_second_wave_trend,stagger_drug_resistant_trend,is_suspicious,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,stagger_second_flu_trend,stagger_drug_resistant
0,10,0.0,4.0,0,52,0,52,0.0,3,0,0,0,0,0,0,0,0,0,0,0,131
0,11,0.0,2.0,0,179,0,208,0.0,6,0,0,0,0,0,0,0,0,0,0,0,164
0,12,0.0,1.0,0,179,0,194,0.0,6,0,0,0,0,0,0,0,0,0,0,0,194
0,13,0.0,1.0,397,349,404,294,0.0,7,0,0,0,0,0,0,0,0,0,0,366,310
0,14,1.0,11.0,15,262,46,271,0.0,5,0,0,0,0,0,0,0,0,0,0,46,271
1,10,0.0,11.0,0,44,0,39,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,11,0.0,82.0,0,194,0,223,0.0,0,7,0,0,0,0,0,0,0,0,0,0,223
1,12,1.0,86.0,0,209,0,194,0.0,0,7,0,0,0,0,0,0,0,0,0,0,194
1,13,1.0,92.0,435,349,404,340,0.0,0,8,0,0,0,0,0,0,0,0,0,404,340
1,14,0.0,43.0,15,232,46,192,0.0,0,4,0,0,0,0,0,0,0,0,0,46,192
2,11,0.0,23.0,0,164,0,143,0.0,0,0,5,0,0,0,0,0,0,0,0,0,143
2,12,0.0,29.0,0,179,0,128,0.0,0,0,5,0,0,0,0,0,0,0,0,0,128
2,14,1.0,43.0,46,271,84,192,0.0,0,0,5,0,0,0,0,0,0,0,0,84,192
2,15,0.0,28.0,16,257,0,192,0.0,0,0,5,0,0,0,0,0,0,0,0,0,192
3,10,0.0,53.0,0,139,0,115,0.0,0,0,0,5,0,0,0,0,0,0,0,0,179
3,11,0.0,44.0,0,164,0,143,0.0,0,0,0,5,0,0,0,0,0,0,0,0,138
3,12,1.0,72.0,0,179,0,128,0.0,0,0,0,5,0,0,0,0,0,0,0,0,178
3,13,0.0,225.0,366,264,266,239,1.0,0,0,0,5,0,0,0,0,0,0,0,266,275
4,10,0.0,73.0,0,139,0,115,0.0,0,0,0,0,5,0,0,0,0,0,0,0,139
4,11,1.0,109.0,0,164,0,143,0.0,0,0,0,0,5,0,0,0,0,0,0,0,164
4,12,0.0,53.0,0,179,0,128,0.0,0,0,0,0,5,0,0,0,0,0,0,0,179
4,13,1.0,52.0,366,264,266,239,0.0,0,0,0,0,5,0,0,0,0,0,0,366,264
5,11,0.0,15.0,0,164,0,143,0.0,0,0,0,0,0,5,0,0,0,0,0,0,129
5,12,1.0,10.0,0,179,0,128,1.0,0,0,0,0,0,5,0,0,0,0,0,0,178
5,13,1.0,3.0,366,264,266,239,1.0,0,0,0,0,0,5,0,0,0,0,0,266,275
5,14,0.0,5.0,46,271,84,192,1.0,0,0,0,0,0,5,0,0,0,0,0,146,247
6,11,0.0,68.0,0,164,0,143,1.0,0,0,0,0,0,0,5,0,0,0,0,0,164
6,12,0.0,26.0,0,179,0,128,0.0,0,0,0,0,0,0,5,0,0,0,0,0,179
6,13,0.0,25.0,366,264,266,239,0.0,0,0,0,0,0,0,5,0,0,0,0,366,264
6,14,1.0,32.0,46,271,84,192,0.0,0,0,0,0,0,0,5,0,0,0,0,46,271
7,11,0.0,48.0,0,164,0,99,0.0,0,0,0,0,0,0,0,4,0,0,0,0,164
7,12,1.0,17.0,0,179,0,128,1.0,0,0,0,0,0,0,0,5,0,0,0,0,179
7,13,1.0,291.0,366,264,266,239,1.0,0,0,0,0,0,0,0,5,0,0,0,366,264
7,14,0.0,-149.0,46,271,84,192,2.0,0,0,0,0,0,0,0,5,0,0,0,46,271
8,11,0.0,5.0,0,164,0,99,0.0,0,0,0,0,0,0,0,0,4,0,0,0,164
8,12,0.0,18.0,0,179,0,128,0.0,0,0,0,0,0,0,0,0,5,0,0,0,179
8,13,0.0,10.0,366,264,266,239,0.0,0,0,0,0,0,0,0,0,5,0,0,366,264
8,14,1.0,4.0,46,271,84,192,2.0,0,0,0,0,0,0,0,0,5,0,0,46,271
9,11,0.0,50.0,0,164,0,99,0.0,0,0,0,0,0,0,0,0,0,4,0,0,164
9,12,1.0,37.0,0,128,0,28,0.0,0,0,0,0,0,0,0,0,0,2,0,0,128
9,13,1.0,65.0,366,264,266,239,0.0,0,0,0,0,0,0,0,0,0,5,0,366,264
9,14,0.0,216.0,46,271,84,192,1.0,0,0,0,0,0,0,0,0,0,5,0,46,271
10,10,0.0,4.0,0,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,100,55
10,11,0.0,13.0,0,15,0,15,0.0,0,0,0,0,0,0,0,0,0,0,1,0,65
10,13,1.0,7.0,38,0,0,46,0.0,0,0,0,0,0,0,0,0,0,0,1,0,66
10,14,0.0,4.0,0,15,0,30,0.0,0,0,0,0,0,0,0,0,0,0,1,0,79
