,week_number,treatment,numeric_location,amount_used,google_second_wave_trend,google_drug_resistant_trend,is_suspicious,stagger_second_wave_trend,stagger_drug_resistant_trend,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10
0,10,0.0,0,4.0,0,52,0.0,0,52,1,0,0,0,0,0,0,0,0,0,0
5,11,0.0,0,2.0,0,179,0.0,0,208,1,0,0,0,0,0,0,0,0,0,0
16,12,0.0,0,1.0,0,179,0.0,0,194,1,0,0,0,0,0,0,0,0,0,0
26,13,0.0,0,1.0,366,310,0.0,366,294,1,0,0,0,0,0,0,0,0,0,0
36,14,0.0,0,0.0,31,39,0.0,38,0,1,0,0,0,0,0,0,0,0,0,0
42,14,1.0,0,11.0,15,262,0.0,46,271,1,0,0,0,0,0,0,0,0,0,0
1,10,0.0,1,11.0,0,44,0.0,0,39,0,1,0,0,0,0,0,0,0,0,0
6,11,0.0,1,82.0,0,194,0.0,0,223,0,1,0,0,0,0,0,0,0,0,0
21,12,1.0,1,86.0,0,209,0.0,0,194,0,1,0,0,0,0,0,0,0,0,0
30,13,1.0,1,82.0,404,310,0.0,366,340,0,1,0,0,0,0,0,0,0,0,0
37,14,0.0,1,43.0,15,232,0.0,46,192,0,1,0,0,0,0,0,0,0,0,0
43,14,1.0,1,10.0,31,39,0.0,38,0,0,1,0,0,0,0,0,0,0,0,0
7,11,0.0,2,15.0,0,164,0.0,0,143,0,0,1,0,0,0,0,0,0,0,0
22,12,1.0,2,14.0,0,166,0.0,0,128,0,0,1,0,0,0,0,0,0,0,0
31,13,1.0,2,4.0,266,209,0.0,202,146,0,0,1,0,0,0,0,0,0,0,0
38,14,0.0,2,6.0,15,232,0.0,46,192,0,0,1,0,0,0,0,0,0,0,0
2,10,0.0,3,73.0,0,139,0.0,0,115,0,0,0,1,0,0,0,0,0,0,0
15,11,1.0,3,109.0,0,164,0.0,0,143,0,0,0,1,0,0,0,0,0,0,0
17,12,0.0,3,53.0,0,179,0.0,0,128,0,0,0,1,0,0,0,0,0,0,0
32,13,1.0,3,52.0,366,264,0.0,266,239,0,0,0,1,0,0,0,0,0,0,0
8,11,0.0,4,70.0,0,152,0.0,0,81,0,0,0,0,1,0,0,0,0,0,0
18,12,0.0,4,26.0,0,179,0.0,0,128,0,0,0,0,1,0,0,0,0,0,0
27,13,0.0,4,25.0,366,264,0.0,266,239,0,0,0,0,1,0,0,0,0,0,0
44,14,1.0,4,32.0,46,271,0.0,84,192,0,0,0,0,1,0,0,0,0,0,0
9,11,0.0,5,23.0,0,164,0.0,0,143,0,0,0,0,0,1,0,0,0,0,0
19,12,0.0,5,29.0,0,179,0.0,0,128,0,0,0,0,0,1,0,0,0,0,0
45,14,1.0,5,43.0,46,271,0.0,84,192,0,0,0,0,0,1,0,0,0,0,0
47,15,0.0,5,28.0,16,257,0.0,0,192,0,0,0,0,0,1,0,0,0,0,0
3,10,0.0,6,53.0,0,139,0.0,0,115,0,0,0,0,0,0,1,0,0,0,0
10,11,0.0,6,44.0,0,164,0.0,0,143,0,0,0,0,0,0,1,0,0,0,0
23,12,1.0,6,72.0,0,179,0.0,0,128,0,0,0,0,0,0,1,0,0,0,0
28,13,0.0,6,22.0,303,238,0.0,173,187,0,0,0,0,0,0,1,0,0,0,0
11,11,0.0,7,5.0,0,164,0.0,0,99,0,0,0,0,0,0,0,1,0,0,0
20,12,0.0,7,18.0,0,179,0.0,0,128,0,0,0,0,0,0,0,1,0,0,0
29,13,0.0,7,10.0,366,264,0.0,266,239,0,0,0,0,0,0,0,1,0,0,0
46,14,1.0,7,6.0,15,153,0.0,46,192,0,0,0,0,0,0,0,1,0,0,0
12,11,0.0,8,48.0,0,164,0.0,0,99,0,0,0,0,0,0,0,0,1,0,0
24,12,1.0,8,18.0,0,166,0.0,0,128,0,0,0,0,0,0,0,0,1,0,0
33,13,1.0,8,18.0,320,226,0.0,266,209,0,0,0,0,0,0,0,0,1,0,0
39,14,0.0,8,12.0,15,153,0.0,46,192,0,0,0,0,0,0,0,0,1,0,0
13,11,0.0,9,50.0,0,164,0.0,0,99,0,0,0,0,0,0,0,0,0,1,0
25,12,1.0,9,37.0,0,128,0.0,0,28,0,0,0,0,0,0,0,0,0,1,0
34,13,1.0,9,65.0,366,264,0.0,266,239,0,0,0,0,0,0,0,0,0,1,0
40,14,0.0,9,64.0,46,271,0.0,69,128,0,0,0,0,0,0,0,0,0,1,0
4,10,0.0,10,4.0,0,44,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,11,0.0,10,13.0,0,15,0.0,0,15,0,0,0,0,0,0,0,0,0,0,1
35,13,1.0,10,7.0,38,0,0.0,0,46,0,0,0,0,0,0,0,0,0,0,1
41,14,0.0,10,4.0,0,15,0.0,0,30,0,0,0,0,0,0,0,0,0,0,1
